Country;SouthAfrica
Algeria                                                         ;1
  Argentina                                                      ;13
  Australia                                                      ;21
  Austria                                                        ;15
  Bahamas                                                         ;3
  Belgium                                                         ;8
  Brazil                                                         ;19
  Canada                                                         ;21
  China, Hong Kong SAR                                            ;3
  Colombia                                                       ;4
  Czechia                                                        ;17
  Denmark                                                         ;1
  Ecuador                                                         ;2
  Ethiopia                                                        ;6
  Finland                                                         ;1
  France                                                         ;20
  Georgia                                                         ;3
  Germany                                                        ;19
  Greece                                                          ;5
  Ireland                                                        ;19
  Israel                                                          ;9
  Italy                                                           ;5
  Jamaica                                                         ;1
  Japan                                                           ;1
  Jordan                                                          ;2
  Mauritius                                                       ;2
  Mexico                                                          ;3
  Morocco                                                         ;4
  Netherlands                                                    ;15
  New Zealand                                                    ;15
  Norway                                                          ;1
  Pakistan                                                        ;1
  Peru                                                            ;6
  Rep. of Korea                                                  ;12
  Romania                                                         ;1
  Spain                                                           ;4
  Sweden                                                         ;10
  Switzerland                                                    ;21
  United Kingdom of Great Britain and Northern Ireland           ;21
  United States of America                                       ;21
  Zambia                                                         ;13
  Zimbabwe                                                       ;7
