Country,Syria
,
Angola,1
Argentina,9
Australia,21
Austria,21
Albania,9
 Algeria,18
Antigua and Barbuda,2
Armenia ,11
 Azerbaijan,9
Bahrain ,2
Belarus,12
 Belgium ,21
 Belize,1
Benin,5
Bolivia,8
 Bosnia and Herzegovina,9
 Brazil,21
Bulgaria ,21
Burkina Faso  ,2
Cameroon,9
 Canada ,21
 Central African Rep. ,2
Chad,10
 Chile,9
China,7
Colombia,7
Congo,6
Costa Rica ,8
Cote d'Ivoire ,15
 Croatia,11
 Cuba ,10
Curacao ,1
Cyprus ,21
Czechia,21
 Dem. Rep. of the Congo,6
Denmark,21
Djibouti,7
Dominican Rep.,4
Ecuador,14
Egypt,19
El Salvador,6
 Estonia                                                             ,9
  Ethiopia                                                            ,7
  Finland                                                            ,21
  France                                                             ,21
  Georgia                                                             ,9
  Germany                                                            ,21
  Ghana                                                               ,8
  Greece                                                             ,21
  Guinea                                                              ,3
  Guinea-Bissau                                                       ,1
  Hungary                                                            ,21
  Iceland                                                            ,8
  India                                                              ,11
  Indonesia                                                          ,10
  Iraq                                                              ,21
  Ireland                                                            ,20
  Israel                                                              ,2
  Italy                                                              ,21
  Jamaica                                                             ,5
  Japan                                                               ,9
  Jordan                                                             ,21
  Kazakhstan                                                         ,10
  Kenya                                                              ,7
  Kuwait                                                             ,16
  Kyrgyzstan                                                         ,18
  Latvia                                                             ,11
  Lebanon                                                            ,15
  Liberia                                                             ,8
  Libya                                                              ,13
  Liechtenstein                                                       ,7
  Lithuania                                                          ,14
  Luxembourg                                                          ,9
  Madagascar                                                          ,2
  Malaysia                                                           ,12
  Mali                                                                ,7
  Malta                                                              ,19
  Mauritania                                                          ,8
  Mauritius                                                           ,3
  Mexico                                                              ,8
  Mongolia                                                            ,2
  Montenegro                                                          ,8
  Morocco                                                            ,16
  Nauru                                                               ,6
  Netherlands                                                        ,21
  New Zealand                                                        ,21
  Niger                                                               ,9
  Nigeria                                                             ,8
  North Macedonia                                                     ,8
  Norway                                                             ,21
  Oman                                                               ,16
  Pakistan                                                           ,19
  Panama                                                              ,4
  Paraguay                                                            ,7
  Peru                                                               ,10
  Philippines                                                         ,9
  Poland                                                             ,21
  Portugal                                                           ,9
  Qatar                                                              ,16
  Rep. of Korea                                                      ,9
  Rep. of Moldova                                                    ,19
  Romania                                                            ,21
  Russian Federation                                                 ,13
  Saudi Arabia                                                       ,19
  Senegal                                                             ,8
  Serbia and Kosovo: S/RES/1244 (1999)                               ,9
  Sint Maarten (Dutch part)                                           ,1
  Slovakia                                                          ,20
  Slovenia                                                           ,10
  Somalia                                                             ,8
  South Africa                                                        ,9
  South Sudan                                                         ,1
  Spain                                                              ,21
  Sri Lanka                                                           ,7
  Sudan                                                               ,9
  Sweden                                                             ,21
  Switzerland                                                        ,21
  Syrian Arab Rep.                                                   ,10
  Thailand                                                           ,10
  Togo                                                                ,8
  Trinidad and Tobago                                                 ,7
  Tunisia                                                            ,21
  Turkey                                                             ,20
  Uganda                                                             ,8
  Ukraine                                                            ,21
  United Arab Emirates                                               ,21
  United Kingdom of Great Britain and Northern Ireland               ,18
  United Rep. of Tanzania                                             ,3
  United States of America                                           ,21
  Uruguay                                                             ,7
  Uzbekistan                                                          ,2
  Venezuela (Bolivarian Republic of)                                  ,5
  Yemen                                                              ,21
  Zambia                                                              ,7
  Zimbabwe                                                         ,1
