Country,Venezuela 
,
Argentina,13
Albania,4
Aruba,5
Anguilla,2
Barbados,2
Australia ,14
Belgium,7
Austria,6
Bolivia,2
 British Virgin Islands ,1
Bulgaria,1
 Brazil,10
 Chile,7
 Canada  ,21
Colombia ,18
 Cayman Islands ,2
Cyprus ,1
 Costa Rica ,16
 Czechia ,6
Curacao ,6
Ecuador,14
Denmark ,6
El Salvador,1
Dominican Rep.,5
France ,13
 Estonia ,1
Germany,19
Finland ,10
 Guyana  ,3
 Greece,7
 Honduras ,4
Guatemala ,5
Ireland,11
 Iceland ,3
Israel,3
India    ,2
Jordan,2
 Italy ,9
 Luxembourg ,3
 Jamaica   ,2
Netherlands ,5
Malta ,6
 New Zealand,1
Mexico ,15
Paraguay,5
 Norway ,7
Peru ,15
Panama,13
Rep. of Korea,4
 Poland ,2
  Russian Federation ,1
Portugal  ,3
Suriname ,3
Saint Vincent and the Grenadines ,2
 Sweden ,21
Spain,15
Kingdom of Great Britain and Northern Ireland,17
Switzerland,10
Trinidad and Tobago,6
United States of America ,21
 Uruguay ,6
Venezuela ,2
